"file_name","name","company","date_of_birth","job","social_security_number"
"image_0.bmp","Amanda Huff","Apple","1988-08-10","Human Resources","698-80-9232"
"image_1.bmp","test","test","2021-12-27","test","test"
"image_10.bmp","Benjamin Gonzales","Google","1999-10-08","Scrum Master","397-26-6887"
"image_100.bmp","Ronald Johnson","Google","2021-12-27","Software","538-18-5577"
"image_101.bmp","Emily Scott","Apple","1971-06-28","Software Engineer","561-58-8710"
"image_102.bmp","Andrew Evans","IBM","1995-08-14","Team Lead","891-198-0248"
"image_103.bmp","James Cervantes","IBM","1977-09-16","Team Lead","711-05-8747"
"image_104.bmp","Sarah Collins","Google","1939-02-02","Team Lead","465-16-8787"
"image_105.bmp","vec","IBM","2021-12-27","Dec 19°"" \ q",""
"image_106.bmp","Catherine Williams","IBM","1976-07-10","Scrum Master","189-683-2048"
"image_107.bmp","Benjamin Nelson","IBM","1965-02-28","Manager","882-93-5121"
"image_108.bmp","test","test","2021-12-27","test","test"
"image_109.bmp","stacey mcminan","Apple","1944-05-12","— es","670-12-1224"
"image_11.bmp","Mr. Andrew May","Google","2021-12-27","Human Resour:","34-78-4718"
"image_110.bmp","William Jensen","Google","1991-04-18","Team Lead","864-89-0759"
"image_111.bmp","Andrew Sullivan","Google","2021-12-27","ie oo. oe","736-290-8290"
"image_112.bmp","Robert Rivera","Apple","2007-09-19","Software Engineer","886-61-6384"
"image_113.bmp","test","test","2021-12-27","test","test"
"image_114.bmp","Jessica Thomas","IBM","1985-10-01","Scrum Master","178-61-1047"
"image_115.bmp","Batley Thomas","IBM","1949-06-23","Manager","620 40 7857"
"image_116.bmp","Barbara Olson","Apple","1969-11-17","Manager","428-42-8611"
"image_117.bmp","-. “a","Apple","2021-12-27","allison Hayne’ Gl","vy AS"
"image_118.bmp","Adam Thornton","Apple","1960-07-31","Scrum Master","095-41-9366"
"image_119.bmp","Shannon Shelton","IBM","2007-06-17","Scrum Master","160-712-5003"
"image_12.bmp","test","test","2021-12-27","test","test"
"image_120.bmp","test","test","2021-12-27","test","test"
"image_121.bmp","Steven Harmon","IBM","1922-01-15","Human Resources","165-44-7703"
"image_122.bmp","Philip Roberts","IBM","1982-07-17","Scrum Master","154-57-9189"
"image_123.bmp","Tricia Wright","IBM","1988-01-23","Manager","098 53-4968"
"image_124.bmp","Ms. Regina Fowler","Apple","1922-03-13","Software Engineer","090-20-9816"
"image_125.bmp","","Google","2021-12-27","2 Aor 2008","a 799-92-1932"
"image_126.bmp","test","test","2021-12-27","test","test"
"image_127.bmp","test","test","2021-12-27","test","test"
"image_128.bmp","Jason Mcdaniel","Google","2021-12-27","Team Lead","300-31-2925"
"image_129.bmp","test","test","2021-12-27","test","test"
"image_13.bmp","Ashley jones","IBM","1973-10-12","Team Lead","669-65-5640"
"image_130.bmp","Benjamin Sanchez Il","Apple","1926-08-30","Human Resources","780-23-5957"
"image_131.bmp","test","test","2021-12-27","test","test"
"image_132.bmp","Amanda Parks","IBM","2010-02-02","Manager","079-73-9858"
"image_133.bmp","--.—t—(‘i‘(ia—rsi‘(‘i OS","Apple","2021-12-27","Se || ee","eee"
"image_134.bmp","Melissa Williams","Google","2021-12-27","Team Lead","097-72-0219"
"image_135.bmp","Susan Robinson","IBM","1968-04-03","Manager","188-22-6554"
"image_136.bmp","Marie Casey","Google","2021-12-27","OTLW","651-45-2569"
"image_137.bmp","test","test","2021-12-27","test","test"
"image_138.bmp","Richard Barron","Google","1939-05-05","Na lee","226-29-7243"
"image_139.bmp","Elizabeth Lowe","IBM","1923-10-29","Human Resources","190-30 4263"
"image_14.bmp","Shawn Espinoza","Apple","1934-11-22","Team Lead","746-11-3185"
"image_140.bmp","Sean Lopez","Apple","1927-12-05","Manager","654-13-8985"
"image_141.bmp","Andrew Rivera","IBM","1981-08-15","Human Resources","687-04.2942"
"image_142.bmp","test","test","2021-12-27","test","test"
"image_143.bmp","Lauren Wright","Apple","1942-08-05","Human Resources","078-52-1834"
"image_144.bmp","Jonathan Wright","IBM","1920-08-25","Scrum Master","$84-53-3497"
"image_145.bmp","","IBM","2021-12-27","May 1986 \ |","ne"
"image_146.bmp","test","test","2021-12-27","test","test"
"image_147.bmp","Tara Patterson","IBM","1922-10-16","Scrum Master","38392-1078"
"image_148.bmp","Patrick Gray","Google","2021-12-27","Team Lead","042-27-5737"
"image_149.bmp","test","test","2021-12-27","test","test"
"image_15.bmp","David Bartiett","Apple","1987-11-24","_ Scrum Master","635-86-1722"
"image_16.bmp","Dominique Burns","Google","2021-12-27","Human Resour«","370-44-9420"
"image_17.bmp","test","Google","2021-12-27","test","test"
"image_18.bmp","test","test","2021-12-27","test","test"
"image_19.bmp","test","test","2021-12-27","test","test"
"image_2.bmp","Paul Vazquez","IBM","1970-12-13","Human Resources","208-07-8348"
"image_20.bmp","Sean Berg","IBM","1979-08-01","Scrum Master","672-854-9425"
"image_21.bmp","John Palmer","Apple","1951-03-18","Human Resources","894-52-0281"
"image_22.bmp","Nicholas Castro","IBM","1929-07-05","Human Resources","$80-26-5189"
"image_23.bmp","Connie Moss","Apple","1930-06-23","Human Resources","676-22-0435"
"image_24.bmp","test","test","2021-12-27","test","test"
"image_25.bmp","test","test","2021-12-27","test","test"
"image_26.bmp","Rachel Diaz","Apple","1992-10-02","Team Lead","241-80-0729"
"image_27.bmp","Denise Lewis","IBM","2005-06-12","Software Engineer","838-36 8181"
"image_28.bmp","Chad Rocha","IBM","2008-05-26","Human Resources","87454-3181"
"image_29.bmp","test","test","2021-12-27","test","test"
"image_3.bmp","David Moore","Apple","1984-12-18","","025-48-6616"
"image_30.bmp","Michael singh","Apple","1972-01-29","» teh btatetetatinteh","302-47-1498"
"image_31.bmp","Chris Watson","IBM","1925-11-30","Team Lead","613-219-3066"
"image_32.bmp","Jamie Ramirez","IBM","2000-07-15","Team Lead","390-22-1468"
